Rank,Sweet_Spot,Climate_solutions,Solutions_climatiques,Secteurs,Intervalle_P10,PI0_min,P10_max,Mediane_P10,HistCol,Reduction_CO2,Benefice_net
56,Oui,Bike_Infrastructure,Circuit cycliste,Urbanisme,4–6,4,6,5.0,5,2.31,2427.44
57,Oui,Composting,Compostage,Bioalimentaire,3–6,3,6,4.5,4,2.28,2.9
58,Oui,Smart_Glass,Verre intelligent,Urbanisme,2–4,2,4,3.0,3,2.19,-607.2
59,Non,Women_Small_holders,Micro-entrepreuse,Femmes,1–2,1,2,1.5,1,2.06,NA
60,Oui,Telepresence,Téléprésence,Transport,1–4,1,4,2.5,2,1.99,1182.87
61,Oui,Nutrient_Management,Gestion des nutriments,Bioalimentaire,1–8,1,8,4.5,4,1.81,NA
62,Oui,High-Speed_Rail,Train à grande vitesse,Transport,5–8,5,8,6.5,6,1.52,-739.19
63,Oui,Farmland_Irrigation,Irrigation des terres agricoles,Bioalimentaire,1–8,1,8,4.5,4,1.33,213.51
64,Non,Waste-to-Energy,Valorisation des déchets,Énergie,5–7,5,7,6.0,6,1.1,-16.18
65,Non,Electric_Bikes,Vélo électrique,Transport,0–1,0,1,0.5,0,0.96,119.32
66,Oui,Recycled_Paper,Recyclage du papier,Matériau,1–4,1,4,2.5,2,0.9,NA
67,Oui,Water_Distribution,Gestion des eaux,Urbanisme,3–7,3,7,5.0,5,0.87,765.74
68,Oui,Biochar,Biomasse carbonisée,Bioalimentaire,2–4,2,4,3.0,3,0.81,NA
69,Oui,Green_Roofs,Toit vert,Urbanisme,1–5,1,5,3.0,3,0.77,-404.83
70,Oui,Trains,Train,Transport,3–5,3,5,4.0,4,0.52,-494.78
71,Non,Ridesharing,Covoiturage,Transport,0-1,0,1,0.5,0,0.32,NA
72,Oui,Micro_Wind,Petite éolienne,Énergie,1–4,1,4,2.5,2,0.2,-16.22
